,title,date,desc,content,keywords
13,Poll Finds Americans Are Less Worried About Catching and Spreading the Virus,2022-03-01T10:09:00Z,"Fears about the coronavirus are waning, and support for mask mandates is fading. President Biden is expected to announce steps to protect nursing home residents.","Nursing home residents waited to receive a Covid-19 vaccine in New York last year.Credit...Yuki Iwamura/Associated Press
President Biden will use his State of the Union address Tuesday night in part… [+3214 chars]","['#Nursing', '#home', '#residents', '#waited', '#receive']"
14,White House to Introduce New Coronavirus Response Strategy,2022-03-02T10:12:06Z,The plan is intended to get the nation to a place where the virus does not disrupt everyday life. The C.D.C. no longer recommends universal case investigation and contact tracing.,"WASHINGTON President Biden, looking to usher the nation out of the coronavirus crisis into what some are calling a new normal, used his State of the Union address Tuesday night to sketch out the next… [+5694 chars]","['#WASHINGTON', '#President', '#Biden', '#looking', '#usher']"
15,What you need to know about the coronavirus right now - Reuters,2022-03-15T13:11:00Z,What you need to know about the coronavirus right now  Reuters,"March 15 (Reuters) - Here's what you need to know about the coronavirus right now:
China's soaring COVID infections fuel concern about cost of containment
China posted a steep jump in daily COVID-1… [+3357 chars]","['#China', '#March', '#Reuters', '#need', '#know']"
16,What you need to know about the coronavirus right now - Reuters.com,2022-03-24T15:34:00Z,What you need to know about the coronavirus right now  Reuters.com,"March 24 (Reuters) - Here's what you need to know about the coronavirus right now:
Singapore extends quarantine-free entry
Singapore said on Thursday it will lift quarantine requirements for all va… [+3486 chars]","['#Singapore', '#quarantine', '#March', '#Reuters', '#need']"
17,What you need to know about the coronavirus right now - Reuters.com,2022-03-10T13:05:00Z,What you need to know about the coronavirus right now  Reuters.com,"March 10 (Reuters) - Here's what you need to know about the coronavirus right now:
China's local symptomatic COVID cases nearly double
Mainland China reported 402 locally transmitted COVID-19 infec… [+3523 chars]","['#China', '#March', '#Reuters', '#need', '#know']"
18,What you need to know about the coronavirus right now - Reuters.com,2022-03-17T13:08:00Z,What you need to know about the coronavirus right now  Reuters.com,"March 17 (Reuters) - Here's what you need to know about the coronavirus right now:
Britain approves AstraZeneca's preventative COVID therapy
Britain's medicines regulator has approved AstraZeneca's… [+3070 chars]","['#Britain', '#AstraZeneca', '#March', '#Reuters', '#need']"
19,5m people in England to be offered Covid booster jabs,2022-03-20T00:01:40Z,"Vaccine available to care home residents, people aged 75 and over, and immunosuppressed aged 12 and over<ul><li>Coronavirus – latest updates</li><li>See all our coronavirus coverage</li></ul>Coronavirus booster vaccine jabs for millions of people in England w…","Coronavirus booster vaccine jabs for millions of people in England will begin to be offered this week, the NHS announced.
The vaccine will be available to care home residents, people who are 75 and … [+2360 chars]","['#vaccine', '#people', '#Coronavirus', '#booster', '#jabs']"
20,What you need to know about the coronavirus right now - Reuters.com,2022-03-18T12:54:00Z,What you need to know about the coronavirus right now  Reuters.com,"March 18 (Reuters) - Here's what you need to know about the coronavirus right now:
COVID pandemic is 'far from over' - WHO official
A World Health Organization spokesperson said on Friday that the … [+3475 chars]","['#March', '#Reuters', '#need', '#know', '#coronavirus']"
21,What you need to know about the coronavirus right now - Reuters,2022-03-21T12:57:00Z,What you need to know about the coronavirus right now  Reuters,"March 21 (Reuters) - Here's what you need to know about the coronavirus right now:
Shanghai's Disney resort shut amid record daily local infections
China's financial hub of Shanghai reported on Mon… [+3371 chars]","['#Shanghai', '#March', '#Reuters', '#need', '#know']"
22,What you need to know about the coronavirus right now - Reuters,2022-03-22T13:16:00Z,What you need to know about the coronavirus right now  Reuters,"March 22 (Reuters) - Here's what you need to know about the coronavirus right now:
Shanghai COVID cases hit daily record
China's financial hub Shanghai on Tuesday reported a fifth consecutive daily… [+3152 chars]","['#Shanghai', '#March', '#Reuters', '#need', '#know']"
23,What you need to know about the coronavirus right now - Reuters.com,2022-03-08T12:50:00Z,What you need to know about the coronavirus right now  Reuters.com,"March 8 (Reuters) - Here's what you need to know about the coronavirus right now:
China says Hong Kong must stick to ""dynamic zero"" COVID strategy
A top Chinese health official rallied embattled Ho… [+3487 chars]","['#March', '#Reuters', '#need', '#know', '#coronavirus']"
